#!2theta	Int
#
2.28849	33.60218
2.29379	32.92146
2.29908	32.82322
2.30437	32.30606
2.30966	33.02452
2.31495	32.92530
2.32024	32.17368
2.32554	31.30808
2.33083	33.54092
2.33612	35.84284
2.34141	36.94394
2.34670	36.49456
2.35199	35.30288
2.35728	33.95330
2.36257	32.55366
2.36787	33.12244
2.37316	33.50132
2.37845	33.37124
2.38374	33.68938
2.38903	33.09432
2.39432	32.25552
2.39961	32.09130
2.40490	33.41044
2.41019	33.96782
2.41549	34.59178
2.42078	34.30060
2.42607	33.74686
2.43136	34.11468
2.43665	32.98588
2.44194	31.49056
2.44723	31.39152
2.45252	31.18694
2.45781	30.79662
2.46310	31.09346
2.46839	31.28976
2.47368	31.15138
2.47897	32.95830
2.48426	33.25470
2.48955	33.72504
2.49484	34.12280
2.50013	34.15948
2.50542	34.05260
2.51071	32.95422
2.51600	32.01244
2.52129	31.69068
2.52658	31.48078
2.53187	31.85436
2.53716	31.98682
2.54245	31.64260
2.54774	31.14402
2.55303	30.57770
2.55832	29.99718
2.56361	29.96104
2.56890	30.58670
2.57419	29.96408
2.57948	29.87540
2.58477	29.86046
2.59006	29.94766
2.59535	30.59968
2.60064	30.61604
2.60593	31.43824
2.61122	31.02002
2.61651	30.77314
2.62180	30.66068
2.62708	29.41268
2.63237	30.70120
2.63766	30.46622
2.64295	31.15330
2.64824	33.67400
2.65353	33.83646
2.65882	32.61820
2.66411	32.73206
2.66940	33.13338
2.67469	33.77016
2.67997	34.18734
2.68526	33.27092
2.69055	31.72930
2.69584	31.48076
2.70113	30.60062
2.70642	30.70780
2.71171	32.48930
2.71699	33.97374
2.72228	32.95706
2.72757	32.57518
2.73286	31.81476
2.73815	30.68918
2.74343	31.35598
2.74872	31.61670
2.75401	31.10832
2.75930	31.62326
2.76459	31.38546
2.76987	31.70486
2.77516	30.71950
2.78045	29.60060
2.78574	29.16318
2.79103	28.81374
2.79631	29.40562
2.80160	30.42900
2.80689	30.03254
2.81218	30.45212
2.81746	31.66440
2.82275	31.31458
2.82804	31.10334
2.83333	30.78024
2.83861	32.17630
2.84390	34.53920
2.84919	35.13850
2.85447	33.55152
2.85976	32.54858
2.86505	30.95396
2.87034	30.71394
2.87562	29.92714
2.88091	29.90138
2.88620	29.77148
2.89148	30.02354
2.89677	30.30280
2.90206	29.96390
2.90734	30.33960
2.91263	31.34210
2.91792	31.93508
2.92320	31.18860
2.92849	29.61814
2.93378	28.83162
2.93906	28.05642
2.94435	28.22610
2.94963	29.66306
2.95492	29.73422
2.96021	29.28358
2.96549	28.54292
2.97078	30.17162
2.97607	32.24302
2.98135	32.42188
2.98664	31.09714
2.99192	30.18946
2.99721	30.61640
3.00249	31.66190
3.00778	30.96946
3.01307	29.72366
3.01835	29.33898
3.02364	31.02192
3.02892	33.00130
3.03421	33.34578
3.03949	34.06972
3.04478	32.85348
3.05006	30.56948
3.05535	30.73220
3.06063	32.43894
3.06592	34.15278
3.07120	33.72014
3.07649	31.59620
3.08177	30.18128
3.08706	28.93094
3.09234	29.24474
3.09763	30.57002
3.10291	32.60366
3.10820	33.54214
3.11348	33.24100
3.11877	32.86644
3.12405	32.61852
3.12934	32.50246
3.13462	32.43176
3.13991	32.90488
3.14519	32.58224
3.15047	32.64038
3.15576	32.15538
3.16104	30.92704
3.16633	30.59168
3.17161	31.94360
3.17689	32.91424
3.18218	34.27466
3.18746	34.01444
3.19275	33.15186
3.19803	31.80340
3.20331	31.46214
3.20860	32.31308
3.21388	32.59326
3.21916	32.63658
3.22445	31.64340
3.22973	31.33532
3.23502	33.01740
3.24030	33.69762
3.24558	33.56230
3.25086	34.14400
3.25615	34.23150
3.26143	35.02322
3.26671	35.48716
3.27200	35.73876
3.27728	37.96546
3.28256	39.29314
3.28785	39.19398
3.29313	38.56432
3.29841	38.01794
3.30369	37.56766
3.30898	35.64670
3.31426	34.08430
3.31954	34.13892
3.32482	34.14466
3.33011	34.42328
3.33539	35.64774
3.34067	35.70444
3.34595	35.22732
3.35124	35.46904
3.35652	35.63092
3.36180	36.05858
3.36708	35.61748
3.37236	34.63142
3.37765	34.79656
3.38293	35.78030
3.38821	36.99966
3.39349	37.87984
3.39877	37.42652
3.40405	36.77186
3.40934	35.90828
3.41462	36.01612
3.41990	37.62268
3.42518	38.19772
3.43046	38.68950
3.43574	39.20040
3.44102	39.45730
3.44631	40.84722
3.45159	46.66406
3.45687	60.97714
3.46215	93.84906
3.46743	158.50640
3.47271	239.12020
3.47799	288.84120
3.48327	269.74840
3.48855	203.35320
3.49383	134.99020
3.49911	86.26920
3.50439	61.01272
3.50967	49.98018
3.51495	43.94220
3.52023	41.00226
3.52552	40.18430
3.53080	40.69042
3.53608	41.72260
3.54136	41.96544
3.54664	41.80714
3.55192	41.22036
3.55720	40.29070
3.56248	41.19786
3.56775	43.58336
3.57303	44.06878
3.57831	42.92432
3.58359	42.33328
3.58887	40.98222
3.59415	40.83074
3.59943	41.33552
3.60471	39.66956
3.60999	38.05902
3.61527	38.16650
3.62055	38.19356
3.62583	38.61440
3.63111	39.26384
3.63639	38.63862
3.64167	37.82350
3.64694	39.51548
3.65222	41.02910
3.65750	40.15486
3.66278	40.00342
3.66806	38.94316
3.67334	37.56596
3.67862	38.68020
3.68389	40.24702
3.68917	42.21000
3.69445	43.13336
3.69973	42.38816
3.70501	41.34408
3.71029	39.92666
3.71556	40.70532
3.72084	41.37158
3.72612	41.32352
3.73140	41.04700
3.73667	40.31326
3.74195	40.62586
3.74723	41.45324
3.75251	42.50752
3.75779	43.81318
3.76306	44.98330
3.76834	45.59824
3.77362	46.62266
3.77889	47.93678
3.78417	48.04280
3.78945	47.90230
3.79473	47.26500
3.80000	47.31966
3.80528	48.30338
3.81056	49.29698
3.81583	48.86490
3.82111	48.70914
3.82639	48.55298
3.83166	48.59186
3.83694	48.69492
3.84222	50.10736
3.84749	51.57818
3.85277	52.32190
3.85805	52.64998
3.86332	54.13472
3.86860	55.89434
3.87387	56.11984
3.87915	54.98204
3.88443	56.04446
3.88970	57.66362
3.89498	58.33862
3.90025	56.55828
3.90553	57.92956
3.91081	59.87928
3.91608	61.44896
3.92136	61.57490
3.92663	61.37708
3.93191	62.02740
3.93718	65.08228
3.94246	66.65336
3.94773	69.11912
3.95301	72.47016
3.95828	78.46120
3.96356	84.12014
3.96883	89.04372
3.97411	97.01468
3.97938	108.91386
3.98466	129.96660
3.98993	176.17820
3.99521	273.44380
4.00048	500.30240
4.00576	1033.56180
4.01103	2080.50000
4.01630	3482.66000
4.02158	4351.49000
4.02685	3939.61000
4.03213	2662.76200
4.03740	1491.62800
4.04267	768.42020
4.04795	408.58680
4.05322	244.17260
4.05850	164.72280
4.06377	124.62860
4.06904	101.91020
4.07432	89.86498
4.07959	82.97424
4.08486	76.86644
4.09014	73.89642
4.09541	71.95204
4.10068	69.77406
4.10596	67.03624
4.11123	66.23534
4.11650	67.12160
4.12178	65.61040
4.12705	63.85386
4.13232	62.58240
4.13759	60.82820
4.14287	58.06574
4.14814	56.50916
4.15341	57.03386
4.15868	55.92734
4.16396	55.96786
4.16923	55.33964
4.17450	54.64266
4.17977	52.78854
4.18504	51.58986
4.19032	50.57758
4.19559	51.03638
4.20086	50.98922
4.20613	49.10386
4.21140	46.41822
4.21668	44.87112
4.22195	44.76228
4.22722	45.03672
4.23249	45.50108
4.23776	46.15532
4.24303	44.80738
4.24830	43.33552
4.25358	42.55380
4.25885	42.29350
4.26412	42.51602
