text_1.dat                                                                      
poles     0  0  1
      phi     theta      int
   -37.500    21.651     0.000
   -32.500    21.651     0.000
   -27.500    21.651     0.001
   -22.500    21.651     0.007
   -17.500    21.651     0.086
   -12.500    21.651     0.504
    -7.500    21.651     3.468
    -2.500    21.651    12.549
     2.500    21.651    12.549
     7.500    21.651     3.468
    12.500    21.651     0.504
    17.500    21.651     0.086
    22.500    21.651     0.007
    27.500    21.651     0.001
    32.500    21.651     0.000
    37.500    21.651     0.000
    42.500    21.651     0.000
    47.500    21.651     0.000
    52.500    21.651     0.000
    57.500    21.651     0.000
    62.500    21.651     0.001
    67.500    21.651     0.007
    72.500    21.651     0.086
    77.500    21.651     0.504
    82.500    21.651     3.468
    87.500    21.651    12.549
    92.500    21.651    12.549
    97.500    21.651     3.468
   102.500    21.651     0.504
   107.500    21.651     0.086
   112.500    21.651     0.007
   117.500    21.651     0.001
   122.500    21.651     0.000
   127.500    21.651     0.000
   132.500    21.651     0.000
   137.500    21.651     0.000
   142.500    21.651     0.000
   147.500    21.651     0.000
   152.500    21.651     0.001
   157.500    21.651     0.007
   162.500    21.651     0.086
   167.500    21.651     0.504
   172.500    21.651     3.468
   177.500    21.651    12.549
   182.500    21.651    12.549
  -182.500    26.348     7.261
  -177.500    26.348     7.261
  -172.500    26.348     0.837
  -167.500    26.348     0.012
  -162.500    26.348     0.000
  -157.500    26.348     0.000
  -152.500    26.348     0.000
  -147.500    26.348     0.000
  -142.500    26.348     0.000
  -137.500    26.348     0.000
  -132.500    26.348     0.000
  -127.500    26.348     0.000
  -122.500    26.348     0.000
  -117.500    26.348     0.000
  -112.500    26.348     0.000
  -107.500    26.348     0.000
  -102.500    26.348     0.012
   -97.500    26.348     0.837
   -92.500    26.348     7.261
   -87.500    26.348     7.261
   -82.500    26.348     0.837
   -77.500    26.348     0.012
   -72.500    26.348     0.000
   -67.500    26.348     0.000
   -62.500    26.348     0.000
   -57.500    26.348     0.000
   -52.500    26.348     0.000
   -47.500    26.348     0.000
   -42.500    26.348     0.000
   -37.500    26.348     0.000
   -32.500    26.348     0.000
   -27.500    26.348     0.000
   -22.500    26.348     0.000
   -17.500    26.348     0.000
   -12.500    26.348     0.012
    -7.500    26.348     0.837
    -2.500    26.348     7.261
     2.500    26.348     7.261
     7.500    26.348     0.837
    12.500    26.348     0.012
    17.500    26.348     0.000
    22.500    26.348     0.000
    27.500    26.348     0.000
    32.500    26.348     0.000
    37.500    26.348     0.000
    42.500    26.348     0.000
    47.500    26.348     0.000
    52.500    26.348     0.000
    57.500    26.348     0.000
    62.500    26.348     0.000
    67.500    26.348     0.000
    72.500    26.348     0.000
    77.500    26.348     0.012
    82.500    26.348     0.837
    87.500    26.348     7.261
    92.500    26.348     7.261
    97.500    26.348     0.837
   102.500    26.348     0.012
   107.500    26.348     0.000
   112.500    26.348     0.000
   117.500    26.348     0.000
   122.500    26.348     0.000
   127.500    26.348     0.000
   132.500    26.348     0.000
   137.500    26.348     0.000
   142.500    26.348     0.000
   147.500    26.348     0.000
   152.500    26.348     0.000
   157.500    26.348     0.000
   162.500    26.348     0.000
   167.500    26.348     0.012
