text_01.dat                                                                     
poles     1  0  0
      phi     theta      int
   -92.500    21.651     0.884
   -87.500    21.651     0.884
   -82.500    21.651     1.607
   -77.500    21.651     1.666
   -72.500    21.651     1.940
   -67.500    21.651     1.149
   -62.500    21.651     0.803
   -57.500    21.651     0.949
   -52.500    21.651     1.311
   -47.500    21.651     1.132
   -42.500    21.651     1.132
   -37.500    21.651     1.311
   -32.500    21.651     0.949
   -27.500    21.651     0.803
   -22.500    21.651     1.149
   -17.500    21.651     1.940
   -12.500    21.651     1.666
    -7.500    21.651     1.607
    -2.500    21.651     0.884
     2.500    21.651     0.884
     7.500    21.651     1.607
    12.500    21.651     1.666
    17.500    21.651     1.940
    22.500    21.651     1.149
    27.500    21.651     0.803
    32.500    21.651     0.949
    37.500    21.651     1.311
    42.500    21.651     1.132
    47.500    21.651     1.132
    52.500    21.651     1.311
    57.500    21.651     0.949
    62.500    21.651     0.803
    67.500    21.651     1.149
    72.500    21.651     1.940
    77.500    21.651     1.666
    82.500    21.651     1.607
    87.500    21.651     0.884
    92.500    21.651     0.884
    97.500    21.651     1.607
   102.500    21.651     1.666
   107.500    21.651     1.940
   112.500    21.651     1.149
   117.500    21.651     0.803
   122.500    21.651     0.949
   127.500    21.651     1.311
   132.500    21.651     1.132
   137.500    21.651     1.132
   142.500    21.651     1.311
   147.500    21.651     0.949
   152.500    21.651     0.803
   157.500    21.651     1.149
   162.500    21.651     1.940
   167.500    21.651     1.666
   172.500    21.651     1.607
   177.500    21.651     0.884
   182.500    21.651     0.884
  -182.500    26.348     0.626
  -177.500    26.348     0.626
  -172.500    26.348     0.789
  -167.500    26.348     0.707
  -162.500    26.348     1.008
  -157.500    26.348     1.151
  -152.500    26.348     1.006
  -147.500    26.348     1.346
  -142.500    26.348     1.545
  -137.500    26.348     0.787
  -132.500    26.348     0.787
  -127.500    26.348     1.545
  -122.500    26.348     1.346
  -117.500    26.348     1.006
  -112.500    26.348     1.151
  -107.500    26.348     1.008
  -102.500    26.348     0.707
   -97.500    26.348     0.789
   -92.500    26.348     0.626
   -87.500    26.348     0.626
   -82.500    26.348     0.789
   -77.500    26.348     0.707
   -72.500    26.348     1.008
   -67.500    26.348     1.151
   -62.500    26.348     1.006
   -57.500    26.348     1.346
   -52.500    26.348     1.545
   -47.500    26.348     0.787
   -42.500    26.348     0.787
   -37.500    26.348     1.545
   -32.500    26.348     1.346
   -27.500    26.348     1.006
   -22.500    26.348     1.151
   -17.500    26.348     1.008
   -12.500    26.348     0.707
    -7.500    26.348     0.789
    -2.500    26.348     0.626
     2.500    26.348     0.626
     7.500    26.348     0.789
    12.500    26.348     0.707
    17.500    26.348     1.008
    22.500    26.348     1.151
    27.500    26.348     1.006
    32.500    26.348     1.346
    37.500    26.348     1.545
    42.500    26.348     0.787
    47.500    26.348     0.787
    52.500    26.348     1.545
    57.500    26.348     1.346
    62.500    26.348     1.006
    67.500    26.348     1.151
    72.500    26.348     1.008
    77.500    26.348     0.707
    82.500    26.348     0.789
    87.500    26.348     0.626
    92.500    26.348     0.626
    97.500    26.348     0.789
   102.500    26.348     0.707
   107.500    26.348     1.008
   112.500    26.348     1.151
   117.500    26.348     1.006
   122.500    26.348     1.346
   127.500    26.348     1.545
   132.500    26.348     0.787
   137.500    26.348     0.787
   142.500    26.348     1.545
   147.500    26.348     1.346
   152.500    26.348     1.006
   157.500    26.348     1.151
   162.500    26.348     1.008
   167.500    26.348     0.707
   172.500    26.348     0.789
   177.500    26.348     0.626
   182.500    26.348     0.626
  -182.500    31.053     1.314
  -177.500    31.053     1.314
  -172.500    31.053     1.840
  -167.500    31.053     1.486
  -162.500    31.053     0.849
  -157.500    31.053     0.887
  -152.500    31.053     1.170
  -147.500    31.053     1.040
  -142.500    31.053     1.477
  -137.500    31.053     0.794
  -132.500    31.053     0.794
  -127.500    31.053     1.477
  -122.500    31.053     1.040
  -117.500    31.053     1.170
  -112.500    31.053     0.887
  -107.500    31.053     0.849
  -102.500    31.053     1.486
   -97.500    31.053     1.840
   -92.500    31.053     1.314
   -87.500    31.053     1.314
   -82.500    31.053     1.840
   -77.500    31.053     1.486
   -72.500    31.053     0.849
   -67.500    31.053     0.887
   -62.500    31.053     1.170
   -57.500    31.053     1.040
   -52.500    31.053     1.477
   -47.500    31.053     0.794
   -42.500    31.053     0.794
   -37.500    31.053     1.477
   -32.500    31.053     1.040
   -27.500    31.053     1.170
   -22.500    31.053     0.887
   -17.500    31.053     0.849
   -12.500    31.053     1.486
    -7.500    31.053     1.840
    -2.500    31.053     1.314
     2.500    31.053     1.314
     7.500    31.053     1.840
    12.500    31.053     1.486
    17.500    31.053     0.849
    22.500    31.053     0.887
    27.500    31.053     1.170
    32.500    31.053     1.040
    37.500    31.053     1.477
    42.500    31.053     0.794
    47.500    31.053     0.794
    52.500    31.053     1.477
    57.500    31.053     1.040
    62.500    31.053     1.170
    67.500    31.053     0.887
    72.500    31.053     0.849
    77.500    31.053     1.486
    82.500    31.053     1.840
    87.500    31.053     1.314
    92.500    31.053     1.314
    97.500    31.053     1.840
   102.500    31.053     1.486
   107.500    31.053     0.849
   112.500    31.053     0.887
   117.500    31.053     1.170
   122.500    31.053     1.040
   127.500    31.053     1.477
   132.500    31.053     0.794
   137.500    31.053     0.794
   142.500    31.053     1.477
   147.500    31.053     1.040
   152.500    31.053     1.170
   157.500    31.053     0.887
   162.500    31.053     0.849
   167.500    31.053     1.486
   172.500    31.053     1.840
   177.500    31.053     1.314
   182.500    31.053     1.314
  -182.500    35.762     0.564
  -177.500    35.762     0.564
  -172.500    35.762     0.580
  -167.500    35.762     0.732
  -162.500    35.762     0.929
  -157.500    35.762     1.143
  -152.500    35.762     1.002
  -147.500    35.762     0.615
  -142.500    35.762     0.707
  -137.500    35.762     1.279
  -132.500    35.762     1.279
  -127.500    35.762     0.707
  -122.500    35.762     0.615
  -117.500    35.762     1.002
  -112.500    35.762     1.143
  -107.500    35.762     0.929
  -102.500    35.762     0.732
   -97.500    35.762     0.580
   -92.500    35.762     0.564
   -87.500    35.762     0.564
   -82.500    35.762     0.580
   -77.500    35.762     0.732
   -72.500    35.762     0.929
   -67.500    35.762     1.143
   -62.500    35.762     1.002
   -57.500    35.762     0.615
   -52.500    35.762     0.707
   -47.500    35.762     1.279
   -42.500    35.762     1.279
   -37.500    35.762     0.707
   -32.500    35.762     0.615
   -27.500    35.762     1.002
   -22.500    35.762     1.143
   -17.500    35.762     0.929
   -12.500    35.762     0.732
    -7.500    35.762     0.580
    -2.500    35.762     0.564
     2.500    35.762     0.564
     7.500    35.762     0.580
    12.500    35.762     0.732
    17.500    35.762     0.929
    22.500    35.762     1.143
    27.500    35.762     1.002
    32.500    35.762     0.615
    37.500    35.762     0.707
    42.500    35.762     1.279
    47.500    35.762     1.279
    52.500    35.762     0.707
    57.500    35.762     0.615
    62.500    35.762     1.002
    67.500    35.762     1.143
    72.500    35.762     0.929
    77.500    35.762     0.732
    82.500    35.762     0.580
    87.500    35.762     0.564
    92.500    35.762     0.564
    97.500    35.762     0.580
   102.500    35.762     0.732
   107.500    35.762     0.929
   112.500    35.762     1.143
   117.500    35.762     1.002
   122.500    35.762     0.615
   127.500    35.762     0.707
   132.500    35.762     1.279
   137.500    35.762     1.279
   142.500    35.762     0.707
   147.500    35.762     0.615
   152.500    35.762     1.002
   157.500    35.762     1.143
   162.500    35.762     0.929
   167.500    35.762     0.732
   172.500    35.762     0.580
   177.500    35.762     0.564
   182.500    35.762     0.564
  -182.500    40.474     1.705
  -177.500    40.474     1.705
  -172.500    40.474     1.418
  -167.500    40.474     0.982
  -162.500    40.474     0.651
  -157.500    40.474     1.112
  -152.500    40.474     0.765
  -147.500    40.474     0.987
  -142.500    40.474     0.725
  -137.500    40.474     0.806
  -132.500    40.474     0.806
  -127.500    40.474     0.725
  -122.500    40.474     0.987
  -117.500    40.474     0.765
  -112.500    40.474     1.112
  -107.500    40.474     0.651
  -102.500    40.474     0.982
   -97.500    40.474     1.418
   -92.500    40.474     1.705
   -87.500    40.474     1.705
   -82.500    40.474     1.418
   -77.500    40.474     0.982
   -72.500    40.474     0.651
   -67.500    40.474     1.112
   -62.500    40.474     0.765
   -57.500    40.474     0.987
   -52.500    40.474     0.725
   -47.500    40.474     0.806
   -42.500    40.474     0.806
   -37.500    40.474     0.725
   -32.500    40.474     0.987
   -27.500    40.474     0.765
   -22.500    40.474     1.112
   -17.500    40.474     0.651
   -12.500    40.474     0.982
    -7.500    40.474     1.418
    -2.500    40.474     1.705
     2.500    40.474     1.705
     7.500    40.474     1.418
    12.500    40.474     0.982
    17.500    40.474     0.651
    22.500    40.474     1.112
    27.500    40.474     0.765
    32.500    40.474     0.987
    37.500    40.474     0.725
    42.500    40.474     0.806
    47.500    40.474     0.806
    52.500    40.474     0.725
    57.500    40.474     0.987
    62.500    40.474     0.765
    67.500    40.474     1.112
    72.500    40.474     0.651
    77.500    40.474     0.982
    82.500    40.474     1.418
    87.500    40.474     1.705
    92.500    40.474     1.705
    97.500    40.474     1.418
   102.500    40.474     0.982
   107.500    40.474     0.651
   112.500    40.474     1.112
   117.500    40.474     0.765
   122.500    40.474     0.987
   127.500    40.474     0.725
   132.500    40.474     0.806
   137.500    40.474     0.806
   142.500    40.474     0.725
   147.500    40.474     0.987
   152.500    40.474     0.765
   157.500    40.474     1.112
   162.500    40.474     0.651
   167.500    40.474     0.982
   172.500    40.474     1.418
   177.500    40.474     1.705
   182.500    40.474     1.705
  -182.500    45.187     0.381
  -177.500    45.187     0.381
  -172.500    45.187     0.532
  -167.500    45.187     0.805
  -162.500    45.187     0.796
  -157.500    45.187     0.891
  -152.500    45.187     0.590
  -147.500    45.187     1.007
  -142.500    45.187     1.339
  -137.500    45.187     0.765
  -132.500    45.187     0.765
  -127.500    45.187     1.339
  -122.500    45.187     1.007
  -117.500    45.187     0.590
  -112.500    45.187     0.891
  -107.500    45.187     0.796
  -102.500    45.187     0.805
   -97.500    45.187     0.532
   -92.500    45.187     0.381
   -87.500    45.187     0.381
   -82.500    45.187     0.532
   -77.500    45.187     0.805
   -72.500    45.187     0.796
   -67.500    45.187     0.891
   -62.500    45.187     0.590
   -57.500    45.187     1.007
   -52.500    45.187     1.339
   -47.500    45.187     0.765
   -42.500    45.187     0.765
   -37.500    45.187     1.339
   -32.500    45.187     1.007
   -27.500    45.187     0.590
   -22.500    45.187     0.891
   -17.500    45.187     0.796
   -12.500    45.187     0.805
    -7.500    45.187     0.532
    -2.500    45.187     0.381
     2.500    45.187     0.381
     7.500    45.187     0.532
    12.500    45.187     0.805
    17.500    45.187     0.796
    22.500    45.187     0.891
    27.500    45.187     0.590
    32.500    45.187     1.007
    37.500    45.187     1.339
    42.500    45.187     0.765
    47.500    45.187     0.765
    52.500    45.187     1.339
    57.500    45.187     1.007
    62.500    45.187     0.590
    67.500    45.187     0.891
    72.500    45.187     0.796
    77.500    45.187     0.805
    82.500    45.187     0.532
    87.500    45.187     0.381
    92.500    45.187     0.381
    97.500    45.187     0.532
   102.500    45.187     0.805
   107.500    45.187     0.796
   112.500    45.187     0.891
   117.500    45.187     0.590
   122.500    45.187     1.007
   127.500    45.187     1.339
   132.500    45.187     0.765
   137.500    45.187     0.765
   142.500    45.187     1.339
   147.500    45.187     1.007
   152.500    45.187     0.590
   157.500    45.187     0.891
   162.500    45.187     0.796
   167.500    45.187     0.805
   172.500    45.187     0.532
   177.500    45.187     0.381
   182.500    45.187     0.381
  -182.500    49.902     1.731
  -177.500    49.902     1.731
  -172.500    49.902     1.285
  -167.500    49.902     0.852
  -162.500    49.902     0.900
  -157.500    49.902     0.840
  -152.500    49.902     0.675
  -147.500    49.902     0.626
  -142.500    49.902     0.512
  -137.500    49.902     0.884
  -132.500    49.902     0.884
  -127.500    49.902     0.512
  -122.500    49.902     0.626
  -117.500    49.902     0.675
  -112.500    49.902     0.840
  -107.500    49.902     0.900
  -102.500    49.902     0.852
   -97.500    49.902     1.285
   -92.500    49.902     1.731
   -87.500    49.902     1.731
   -82.500    49.902     1.285
   -77.500    49.902     0.852
   -72.500    49.902     0.900
   -67.500    49.902     0.840
   -62.500    49.902     0.675
   -57.500    49.902     0.626
   -52.500    49.902     0.512
   -47.500    49.902     0.884
   -42.500    49.902     0.884
   -37.500    49.902     0.512
   -32.500    49.902     0.626
   -27.500    49.902     0.675
   -22.500    49.902     0.840
   -17.500    49.902     0.900
   -12.500    49.902     0.852
    -7.500    49.902     1.285
    -2.500    49.902     1.731
     2.500    49.902     1.731
     7.500    49.902     1.285
    12.500    49.902     0.852
    17.500    49.902     0.900
    22.500    49.902     0.840
    27.500    49.902     0.675
    32.500    49.902     0.626
    37.500    49.902     0.512
    42.500    49.902     0.884
    47.500    49.902     0.884
    52.500    49.902     0.512
    57.500    49.902     0.626
    62.500    49.902     0.675
    67.500    49.902     0.840
    72.500    49.902     0.900
    77.500    49.902     0.852
    82.500    49.902     1.285
    87.500    49.902     1.731
    92.500    49.902     1.731
    97.500    49.902     1.285
   102.500    49.902     0.852
   107.500    49.902     0.900
   112.500    49.902     0.840
   117.500    49.902     0.675
   122.500    49.902     0.626
   127.500    49.902     0.512
   132.500    49.902     0.884
   137.500    49.902     0.884
   142.500    49.902     0.512
   147.500    49.902     0.626
   152.500    49.902     0.675
   157.500    49.902     0.840
   162.500    49.902     0.900
   167.500    49.902     0.852
   172.500    49.902     1.285
   177.500    49.902     1.731
   182.500    49.902     1.731
  -182.500    54.618     0.541
  -177.500    54.618     0.541
  -172.500    54.618     0.663
  -167.500    54.618     0.818
  -162.500    54.618     0.957
  -157.500    54.618     0.743
  -152.500    54.618     1.012
  -147.500    54.618     1.301
  -142.500    54.618     0.758
  -137.500    54.618     0.956
  -132.500    54.618     0.956
  -127.500    54.618     0.758
  -122.500    54.618     1.301
  -117.500    54.618     1.012
  -112.500    54.618     0.743
  -107.500    54.618     0.957
  -102.500    54.618     0.818
   -97.500    54.618     0.663
   -92.500    54.618     0.541
   -87.500    54.618     0.541
   -82.500    54.618     0.663
   -77.500    54.618     0.818
   -72.500    54.618     0.957
   -67.500    54.618     0.743
   -62.500    54.618     1.012
   -57.500    54.618     1.301
   -52.500    54.618     0.758
   -47.500    54.618     0.956
   -42.500    54.618     0.956
   -37.500    54.618     0.758
   -32.500    54.618     1.301
   -27.500    54.618     1.012
   -22.500    54.618     0.743
   -17.500    54.618     0.957
   -12.500    54.618     0.818
    -7.500    54.618     0.663
    -2.500    54.618     0.541
     2.500    54.618     0.541
     7.500    54.618     0.663
    12.500    54.618     0.818
    17.500    54.618     0.957
    22.500    54.618     0.743
    27.500    54.618     1.012
    32.500    54.618     1.301
    37.500    54.618     0.758
    42.500    54.618     0.956
    47.500    54.618     0.956
    52.500    54.618     0.758
    57.500    54.618     1.301
    62.500    54.618     1.012
    67.500    54.618     0.743
    72.500    54.618     0.957
    77.500    54.618     0.818
    82.500    54.618     0.663
    87.500    54.618     0.541
    92.500    54.618     0.541
    97.500    54.618     0.663
   102.500    54.618     0.818
   107.500    54.618     0.957
   112.500    54.618     0.743
   117.500    54.618     1.012
   122.500    54.618     1.301
   127.500    54.618     0.758
   132.500    54.618     0.956
   137.500    54.618     0.956
   142.500    54.618     0.758
   147.500    54.618     1.301
   152.500    54.618     1.012
   157.500    54.618     0.743
   162.500    54.618     0.957
   167.500    54.618     0.818
   172.500    54.618     0.663
   177.500    54.618     0.541
   182.500    54.618     0.541
  -182.500    59.334     1.580
  -177.500    59.334     1.580
  -172.500    59.334     1.332
  -167.500    59.334     0.927
  -162.500    59.334     1.099
  -157.500    59.334     0.703
  -152.500    59.334     0.779
  -147.500    59.334     0.646
  -142.500    59.334     0.742
  -137.500    59.334     0.870
  -132.500    59.334     0.870
  -127.500    59.334     0.742
  -122.500    59.334     0.646
  -117.500    59.334     0.779
  -112.500    59.334     0.703
  -107.500    59.334     1.099
  -102.500    59.334     0.927
   -97.500    59.334     1.332
   -92.500    59.334     1.580
   -87.500    59.334     1.580
   -82.500    59.334     1.332
   -77.500    59.334     0.927
   -72.500    59.334     1.099
   -67.500    59.334     0.703
   -62.500    59.334     0.779
   -57.500    59.334     0.646
   -52.500    59.334     0.742
   -47.500    59.334     0.870
   -42.500    59.334     0.870
   -37.500    59.334     0.742
   -32.500    59.334     0.646
   -27.500    59.334     0.779
   -22.500    59.334     0.703
   -17.500    59.334     1.099
   -12.500    59.334     0.927
    -7.500    59.334     1.332
    -2.500    59.334     1.580
     2.500    59.334     1.580
     7.500    59.334     1.332
    12.500    59.334     0.927
    17.500    59.334     1.099
    22.500    59.334     0.703
    27.500    59.334     0.779
    32.500    59.334     0.646
    37.500    59.334     0.742
    42.500    59.334     0.870
    47.500    59.334     0.870
    52.500    59.334     0.742
    57.500    59.334     0.646
    62.500    59.334     0.779
    67.500    59.334     0.703
    72.500    59.334     1.099
    77.500    59.334     0.927
    82.500    59.334     1.332
    87.500    59.334     1.580
    92.500    59.334     1.580
    97.500    59.334     1.332
   102.500    59.334     0.927
   107.500    59.334     1.099
   112.500    59.334     0.703
   117.500    59.334     0.779
   122.500    59.334     0.646
   127.500    59.334     0.742
   132.500    59.334     0.870
   137.500    59.334     0.870
   142.500    59.334     0.742
   147.500    59.334     0.646
   152.500    59.334     0.779
   157.500    59.334     0.703
   162.500    59.334     1.099
   167.500    59.334     0.927
   172.500    59.334     1.332
   177.500    59.334     1.580
   182.500    59.334     1.580
  -182.500    64.051     0.683
  -177.500    64.051     0.683
  -172.500    64.051     0.859
  -167.500    64.051     0.959
  -162.500    64.051     1.251
  -157.500    64.051     0.897
  -152.500    64.051     1.486
  -147.500    64.051     0.698
  -142.500    64.051     1.088
  -137.500    64.051     0.824
  -132.500    64.051     0.824
  -127.500    64.051     1.088
  -122.500    64.051     0.698
  -117.500    64.051     1.486
  -112.500    64.051     0.897
  -107.500    64.051     1.251
  -102.500    64.051     0.959
   -97.500    64.051     0.859
   -92.500    64.051     0.683
